Timestamp,Type,Offset,Curve,Nearest_Dist
20251219-191304,LDW,-65.9,Curving Right,N/A
20251219-191307,LDW,-74.0,Curving Right,N/A
20251219-191339,LDW,-65.9,Curving Right,N/A
20251219-191342,LDW,-67.1,Curving Right,N/A
20251219-191416,LDW,-65.9,Curving Right,N/A
20251219-191420,LDW,-60.7,Straight,N/A
20251219-191452,LDW,-65.9,Curving Right,N/A
20251219-191456,LDW,-60.7,Straight,N/A
20251219-191529,LDW,-65.9,Curving Right,N/A
20251219-191532,LDW,-67.1,Curving Right,N/A
20251219-191605,LDW,-65.9,Curving Right,N/A
20251219-191608,LDW,-67.1,Curving Right,N/A
20251219-191642,LDW,-65.9,Curving Right,N/A
20251219-191645,LDW,-67.1,Curving Right,N/A
20251219-191718,LDW,-65.9,Curving Right,N/A
20251219-191721,LDW,-67.1,Curving Right,N/A
20251219-191755,LDW,-65.9,Curving Right,N/A
20251219-191758,LDW,-67.1,Curving Right,N/A
20251219-191831,LDW,-65.9,Curving Right,N/A
20251219-191834,LDW,-70.2,Curving Right,N/A
20251219-191907,LDW,-65.9,Curving Right,N/A
20251219-191910,LDW,-67.1,Curving Right,N/A
20251219-191944,LDW,-65.9,Curving Right,N/A
20251219-191947,LDW,-67.1,Curving Right,N/A
20251219-192020,LDW,-65.9,Curving Right,N/A
20251219-192023,LDW,-67.1,Curving Right,N/A
20251219-192056,LDW,-65.9,Curving Right,N/A
20251219-192059,LDW,-67.1,Curving Right,N/A
20251219-192132,LDW,-65.9,Curving Right,N/A
20251219-192135,LDW,-67.1,Curving Right,N/A
20251219-192207,LDW,-65.9,Curving Right,N/A
20251219-192210,LDW,-74.0,Curving Right,N/A
20251219-192243,LDW,-65.9,Curving Right,N/A
20251219-192246,LDW,-67.1,Curving Right,N/A
20251219-192319,LDW,-65.9,Curving Right,N/A
20251219-192322,LDW,-67.1,Curving Right,N/A
20251219-192355,LDW,-65.9,Curving Right,N/A
20251219-192358,LDW,-67.1,Curving Right,N/A
20251219-192432,LDW,-65.9,Curving Right,N/A
20251219-192435,LDW,-67.1,Curving Right,N/A
20251219-192508,LDW,-65.9,Curving Right,N/A
20251219-192511,LDW,-74.0,Curving Right,N/A
20251219-192545,LDW,-65.9,Curving Right,N/A
20251219-192548,LDW,-67.1,Curving Right,N/A
20251219-192621,LDW,-65.9,Curving Right,N/A
20251219-192624,LDW,-67.1,Curving Right,N/A
20251219-192657,LDW,-65.9,Curving Right,N/A
20251219-192700,LDW,-70.2,Curving Right,N/A
20251219-192734,LDW,-65.9,Curving Right,N/A
20251219-192737,LDW,-60.7,Straight,N/A
20251219-192810,LDW,-65.9,Curving Right,N/A
20251219-192813,LDW,-67.1,Curving Right,N/A
20251219-192846,LDW,-65.9,Curving Right,N/A
20251219-192849,LDW,-67.1,Curving Right,N/A
20251219-192922,LDW,-65.9,Curving Right,N/A
20251219-192925,LDW,-67.1,Curving Right,N/A
20251219-192959,LDW,-65.9,Curving Right,N/A
20251219-193002,LDW,-74.0,Curving Right,N/A
20251219-193035,LDW,-65.9,Curving Right,N/A
20251219-193038,LDW,-67.1,Curving Right,N/A
20251219-193113,LDW,-65.9,Curving Right,N/A
20251219-193116,LDW,-70.2,Curving Right,N/A
20251219-193151,LDW,-65.9,Curving Right,N/A
20251219-193155,LDW,-67.1,Curving Right,N/A
20251219-193229,LDW,-65.9,Curving Right,N/A
20251219-193232,LDW,-70.2,Curving Right,N/A
20251219-193307,LDW,-65.9,Curving Right,N/A
20251219-193310,LDW,-67.1,Curving Right,N/A
20251219-193344,LDW,-65.9,Curving Right,N/A
20251219-193347,LDW,-60.7,Straight,N/A
